intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
4770000,0.01734167090816549,0.8295652173913044,0.01734167090816549,0.01782488545417569,3.1236897274633124,3.0,2.6523603293536224,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_004171175.1 Escherichia coli,0fde6beccc29d55a4f141d170533fe4f,0.8295652173913044,4770000,0,270290000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.923575431223133,0.9963429084117398,0.9599591698174363,0.9963429084117398,False,1490,1490,83591
3400000,0.012360939431396786,0.718816067653277,0.012360939431396786,0.011221303728870332,2.7588235294117647,2.0,1.6962099008323412,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_034130625.1 Phocaeicola vulgatus,c1fd3642ff394a28f388ae69dddc8520,0.718816067653277,3400000,1,266890000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.9174644489608893,0.993547383202447,0.9555059160816681,0.993547383202447,False,938,2428,83591
3050000,0.011088489784047117,0.5505415162454874,0.011088489784047117,0.008170736084028185,2.239344262295082,1.0,5.373745486493998,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_964241485.1 Bacteroides fragilis,859532d52f774799cca8a03ccb8d2095,0.5505415162454874,3050000,2,263840000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.9155122604792588,0.9883652154848372,0.9519387379820481,0.9883652154848372,False,683,3111,83591
2140000,0.0077801207009379775,0.7086092715231788,0.0077801207009379775,0.13363878886482994,52.200934579439256,52.0,13.797663321927118,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_945948365.1 Subdoligranulum variabile,48fb98e90d533b6cb4cbce845c371dcb,0.7086092715231788,2140000,3,261700000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.9091735464182098,0.9932688153773429,0.9512211808977764,0.9932688153773429,False,11171,14282,83591
2140000,0.0077801207009379775,0.33121019108280253,0.007561986475678034,0.0041272385783158476,1.6586538461538463,1.0,1.0487273034972397,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_027688775.1 Parabacteroides goldsteinii,72c3ef09efaee1399d67f6bfe09ef06d,0.34076433121019106,2080000,4,259620000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.9091735464182098,0.9791121366202605,0.9441428415192352,0.9791121366202605,False,345,14627,83591
2010000,0.0073074965462081,0.0008579843770008964,0.0073074965462081,0.003098419686329868,1.2885572139303483,1.0,0.5337545674454269,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_000003025.6 pig (Sus scrofa),2edac3821d65091319e98478f22e942c,0.0008579843770008964,2010000,5,257610000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.9080569990107867,0.8707072180178521,0.8893821085143194,0.9080569990107867,False,259,14886,83591
1980000,0.007198429433578128,0.532258064516129,0.007198429433578128,0.004306683733894797,1.8181818181818181,1.0,1.179484876122943,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_034086925.1 Clostridium sp.,44da87991f37833bb3c06d439441b8fe,0.532258064516129,1980000,6,255630000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.9077892884854301,0.9877109035107957,0.9477500959981129,0.9877109035107957,False,360,15246,83591
1900000,0.006907583799898204,0.7011070110701108,0.006907583799898204,0.010706894282877343,4.7105263157894735,5.0,2.543390761384682,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_022782135.1 Lachnospiraceae bacterium,86b06c757fa205fc8eb76cf0d98c70df,0.7011070110701108,1900000,7,253730000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.907055469240239,0.9930615409024901,0.9500585050713646,0.9930615409024901,False,895,16141,83591
1900000,0.006907583799898204,0.5555555555555556,0.006907583799898204,0.004115275567943917,1.8105263157894738,1.0,1.2797593264039946,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_033539495.1 [Clostridium] scindens,5533f696281794e98a45d144a8333532,0.5555555555555556,1900000,8,251830000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.907055469240239,0.9885409323073931,0.9477982007738162,0.9885409323073931,False,344,16485,83591
1810000,0.006580382462008289,0.782608695652174,0.006544026757798299,0.012585086911270351,5.844444444444444,5.0,6.632263081350658,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_945874245.1 uncultured Clostridia bacterium,dd31b1680d5b9a533a5511a421fb6f3a,0.7869565217391304,1800000,9,250030000,-,SRR11126365,8bc4d485,275060000,51,DNA,10000,27506,True,0.906192806822534,0.9953133251768925,0.9507530659997132,0.9953133251768925,False,1052,17537,83591
