intersect_bp,f_orig_query,f_match,f_unique_to_query,f_unique_weighted,average_abund,median_abund,std_abund,filename,name,md5,f_match_orig,unique_intersect_bp,gather_result_rank,remaining_bp,query_filename,query_name,query_md5,query_bp,ksize,moltype,scaled,query_n_hashes,query_abundance,query_containment_ani,match_containment_ani,average_containment_ani,max_containment_ani,potential_false_negative,n_unique_weighted_found,sum_weighted_found,total_weighted_hashes
100000,0.02127659574468085,0.002910360884749709,0.02127659574468085,0.004783054321831227,1.4,1.0,0.48989794855663565,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_900068985.1 Pterula multifida,63d005678ecd80e5c1b889882b659ec1,0.002910360884749709,100000,0,4600000,-,ERR3211848,f146e012,4700000,51,DNA,10000,470,True,0.9272861378461615,0.891812319797034,0.9095492288215978,0.9272861378461615,False,14,14,2927
90000,0.019148936170212766,0.00011623702019941106,0.019148936170212766,0.8117526477622139,264.0,3.0,739.2811824107703,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_900184025.1 Amynthas corticis,66fdfa3fa970dc160894648ab36014f3,0.00011623702019941106,90000,1,4510000,-,ERR3211848,f146e012,4700000,51,DNA,10000,470,True,0.9253724418278407,0.8372398506013211,0.8813061462145809,0.9253724418278407,False,2376,2390,2927
90000,0.019148936170212766,0.02425876010781671,0.019148936170212766,0.0034164673727365906,1.1111111111111112,1.0,0.3142696805273545,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCF_021531135.1 Segatella hominis,4c29f3afef673c9f7632bde07b0233bc,0.02425876010781671,90000,2,4420000,-,ERR3211848,f146e012,4700000,51,DNA,10000,470,True,0.9253724418278407,0.9296741531728604,0.9275232975003506,0.9296741531728604,False,10,2400,2927
80000,0.01702127659574468,0.02127659574468085,0.01702127659574468,0.0030748206354629312,1.125,1.0,0.33071891388307384,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_037065365.1 Prevotella sp.,b24d62b6c00284933c033dbd853cac6f,0.02127659574468085,80000,3,4340000,-,ERR3211848,f146e012,4700000,51,DNA,10000,470,True,0.9232377866545154,0.9272861378461615,0.9252619622503384,0.9272861378461615,False,9,2409,2927
70000,0.014893617021276596,0.0160857908847185,0.01276595744680851,0.0023915271609156134,1.1666666666666667,1.0,0.3726779962499649,/opt/shared-2/sourmash-db/entire-2025-07-11.k51.rocksdb/,GCA_019409885.1 Prevotella sp.,87f837e9ca5084710c941866020d152b,0.01876675603217158,60000,4,4280000,-,ERR3211848,f146e012,4700000,51,DNA,10000,470,True,0.920823669461871,0.9250067170545706,0.9229151932582208,0.9250067170545706,False,7,2416,2927
